"Communicate this shipment to the courier service", "Comunica cu serviciul DPD pentru obtinerea pretului de livrare"
"Total number of parcels", "Numarul de cutii"
"Shipping cost (excluding tax):", "Cost de livrare(exclus taxe):"
"Difference:", "Diferenta:"
"Grouping your shipment into parcels", "Grupeaza produsele livrate in cutii"
"Group the products in your shipment into parcels", "Grupeaza produsele livrate in cutii"
"This module lets you organize your products into parcels using the table below. If you like you can, <strong>leave some parcels empty, and the system will not take them into account</strong>.", "Acest modul iti permite organizarea produselor care urmeaza a fi livrate folosind tabelul de mai jos. Daca lasati anumite cutii goale sistemul nu le va lua in considerare. Implicit o singura cutie va fi creata."
"Enter a descriptive reference for the shipping labels of each parcel", "Introdu descrierea pachetului pentru fiecare cutie in parte"
"Cost of shipping to customer (excluding tax):", "Taxa livrare platita de client (exclus taxe):"
"Grouping Shipment into Parcels", "Grupeaza Livrarea in Pachete"
"Parcel","Cutia"
"Continue","Continua"
"Cancel","Renunta"
"Parcel Reference", "Referinta cutie"
"Description of Parcel", "Descriere cutie"
"Enter a description for each parcel", "Introdu descriere pentru fiecare cutie in parte"
"You can enter a description of each parcel to communicate to the courier service in the fields below.", "Poti introduce o descriere pentru fiecare cutie in parte  descriere care va fi trimisa catre DPD"

